busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd,1588-1519,서울특별시 송파구 법원로11길 12 8층 (문정동),계약직,신입,,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,기타 서비스 단순종사원(사우나·찜질방 등),20260416,20260417,한국장애인고용공단 경기지역본부,무관,무관,17,17,"2,317,780",월급,2026-04-16~2026-04-30,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
가인보건안마센터,1588-1519,인천광역시 서구 청마로167번길 3 (당하동),상용직,무관,,,,안마사,20260416,20260416,한국장애인고용공단 인천지사,0년0개월,무관,18,18,"2,156,880",월급,2026-04-16~2026-05-15,,,,,
핌즈(주),1588-1519,서울특별시 성동구 아차산로 38 (성수동1가),시간제,무관,,,,"제품 포장원(섬유, 전기전자, 식품 제외)",20260416,20260416,한국장애인고용공단 인천지사,0년0개월,무관,19,19,"10,320",시급,2026-04-16~2026-05-15,,,,,
(주)경신유앤엘,1588-1519,인천광역시 서구 건지로86번길 41 1-3,상용직,경력,,,,세탁수거원,20260416,20260416,한국장애인고용공단 인천지사,1년0개월,무관,20,20,"10,320",시급,2026-04-16~2026-05-15,,,,,
윈리테일익스페리언스코리아리미티드(영업소),1588-1519,서울특별시 용산구 이태원로 217 (한남동),계약직,무관,양손작업 가능,,,기타 시각 디자이너,20260416,20260416,한국장애인고용공단 서울지역본부,0년0개월,고졸,21,21,"10,320",시급,2026-04-16~2026-05-10,정밀한 작업가능,,,,
재단법인 경기환경에너지진흥원,1588-1519,경기도 김포시 김포한강11로 455 경기환경에너지진흥원 (운양동),계약직,무관,,,,사무 보조원(공공기관),20260415,20260415,한국장애인고용공단 경기북부지사,0년개월,무관,22,22,"1,486,000",월급,2026-04-15~2026-06-30,,,,,
전남개발공사,1588-1519,"전라남도 무안군 삼향읍 후광대로 242 (남악리), 전남개발빌딩 8층",상용직,무관,,,,행정지원사무원,20260415,20260415,한국장애인고용공단 전남지사,0년0개월,무관,23,23,"2,200,000",월급,2026-04-15~2026-04-24,,,,,
주식회사 브라보비버아르떼,1588-1519,서울특별시 구로구 디지털로30길 28 (구로동)13층 1306호,상용직,무관,,,,화가 및 조각가,20260415,20260415,한국장애인고용공단 서울남부지사,0년0개월,무관,24,24,"1,080,000",월급,2026-04-15~2026-05-15,,,,,
영등포고등학교,1588-1519,서울특별시 동작구 등용로8길 5 (대방동),계약직,무관,,,,"공공장소 환경미화원 (공원, 휴양림 등)",20260415,20260415,한국장애인고용공단 서울남부지사,무관,무관,25,25,"12,570",시급,2026-04-15~2026-05-31,,,,,
(주)모니터랩,1588-1519,서울특별시 구로구 디지털로31길 38-9 (구로동),계약직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260415,20260415,한국장애인고용공단 서울남부지사,0년0개월,무관,26,26,"1,100,000",월급,2026-04-15~2026-06-30,,,,,
(주)쏘랜드코리아,1588-1519,경기도 양평군 옥천면 고읍로 162-4 (옥천리),상용직,무관,,,,"제품 포장원(섬유, 전기전자, 식품 제외)",20260415,20260415,한국장애인고용공단 경기동부지사,0년개월,무관,27,27,"810,000",월급,2026-04-15~2026-05-14,,,,,
