busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
대한적십자사 부산혈액원,1588-1519,부산광역시 부산진구 전포대로 168 부산혈액원 (전포동),계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,기타 보건·의료 서비스 종사원,20260409,20260409,한국장애인고용공단 부산지역본부,무관,무관,80,80,"2,627,630",월급,2026-04-09~2026-04-24,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
현대해상화재보험（주）,1588-1519,"서울특별시 종로구 세종대로 163 191-1 (세종로, 현대해상빌딩)",시간제,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,사무 보조원(일반사업체),20260409,20260409,한국장애인고용공단 부산지역본부,무관,무관,81,81,"10,320",시급,2026-04-09~2026-05-30,,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
포레스트케어홈즈 주식회사,1588-1519,서울특별시 도봉구 마들로 664-5 (도봉동),계약직,무관,,,,사업체 구내식당 급식 조리사,20260409,20260409,한국장애인고용공단 서울북부지사,0년0개월,무관,82,82,"10,320",시급,2026-04-09~2026-04-23,,,,,
아이엠정형외과의원,1588-1519,경기도 성남시 중원구 희망로 380  (상대원동),상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,세탁보조원,20260408,20260408,한국장애인고용공단 경기동부지사,무관,무관,83,83,"10,320",시급,2026-04-08~2026-07-07,,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
창동으뜸정형외과의원,1588-1519,서울특별시 도봉구 마들로13길 61 (창동) 401-6호~401-8호,계약직,무관,,,,간호조무사(요양병원 제외),20260408,20260408,한국장애인고용공단 서울북부지사,0년0개월,무관,84,84,"35,000,000",연봉,2026-04-08~2026-04-30,,,,,간호조무사/
창동으뜸정형외과의원,1588-1519,서울특별시 도봉구 마들로13길 61 (창동) 401-6호~401-8호,계약직,무관,,,,방사선사,20260408,20260408,한국장애인고용공단 서울북부지사,0년0개월,무관,85,85,"48,000,000",연봉,2026-04-08~2026-04-30,,,,,방사선사/
창동으뜸정형외과의원,1588-1519,서울특별시 도봉구 마들로13길 61 (창동) 401-6호~401-8호,계약직,무관,,,,물리치료사,20260408,20260408,한국장애인고용공단 서울북부지사,0년0개월,무관,86,86,"39,000,000",연봉,2026-04-08~2026-04-30,,,,,물리치료사/
새한마루사회적협동조합근로사업장,1588-1519,경기도 시흥시 둔대로 27-5 에이스프라자 (광석동),상용직,무관,,,,목제품 제조 관련 종사원,20260408,20260408,한국장애인고용공단 경기서부지사,무관,무관,87,87,"812,130",월급,2026-04-08~2026-06-07,,,,,
신일전자(주),1588-1519,충청남도 천안시 서북구 입장면 연곡길 308 신일산업(주),계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260408,20260413,한국장애인고용공단 충남지사,무관,무관,88,88,"10,320",시급,2026-04-08~2026-07-06,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
신일전자(주),1588-1519,충청남도 천안시 서북구 입장면 연곡길 308 신일산업(주),계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,사무 보조원(일반사업체),20260408,20260413,한국장애인고용공단 충남지사,무관,고졸,89,89,"10,320",시급,2026-04-08~2026-07-06,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
상미식품주식회사,1588-1519,충청남도 천안시 동남구 수신면 수신로 503 상미식품,계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260408,20260408,한국장애인고용공단 충남지사,무관,무관,90,90,"10,320",시급,2026-04-08~2026-06-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
(주)에스에스글로벌,1588-1519,충청남도 아산시 둔포면 윤보선로336번길 71-16 (주)에스에스글로벌,상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260408,20260408,한국장애인고용공단 충남지사,0년개월,무관,91,91,"10,320",시급,2026-04-08~2026-06-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
(주)뉴시티보안공사,1588-1519,울산광역시 북구 사청1길 13 2층,계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260408,20260408,한국장애인고용공단 울산지사,무관,무관,92,92,"2,290,000",월급,2026-04-08~2026-05-29,,,일부 서서하는 작업 가능,,
(주)모두락,1588-1519,"서울특별시 강서구 하늘길 70 1층 L103-2호 (과해동, 항공지원센터) (과해동)",계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,네일 관리사(손톱 관리사),20260408,20260408,한국장애인고용공단 서울남부지사,무관,무관,93,93,"15,000",시급,2026-04-08~2026-04-30,,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
어진샘노인종합복지관,1588-1519,부산광역시 해운대구 재반로12번길 16 어진샘노인종합복지관 (재송동),계약직,무관,,,,"기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)",20260408,20260415,한국장애인고용공단 부산지역본부,무관,무관,94,94,"10,320",시급,2026-04-08~2026-05-31,,,,,
알비코리아(주),1588-1519,인천광역시 서구 백범로603번길 4 (가좌동),상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,PCB 부품·제품 조립·검사원,20260408,20260408,한국장애인고용공단 인천지사,무관,무관,95,95,"2,156,880",월급,2026-04-08~2026-04-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
해성병원,1588-1519,경기도 수원시 팔달구 경수대로 542 해성병원 (인계동),상용직,무관,,일상적 활동 가능,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260408,20260408,한국장애인고용공단 경기지역본부,무관,무관,96,96,"1,078,440",월급,2026-04-08~2026-04-30,,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
기림음향,1588-1519,강원특별자치도 홍천군 홍천읍 큰골길 50-18 (갈마곡리),상용직,무관,,,,전기 부품·제품 조립·검사원,20260408,20260408,한국장애인고용공단 강원지사,0년개월,무관,97,97,"10,320",시급,2026-04-08~2026-05-08,,,,,
대한적십자사 충북지사,1588-1519,충청북도 청주시 흥덕구 가로수로 1000 (휴암동),계약직,무관,,,,사무 보조원(공공기관),20260408,20260410,한국장애인고용공단 충북지사,무관,무관,98,98,"2,650,370",월급,2026-04-08~2026-04-23,,,,,
국립생태원,1588-1519,충청남도 서천군 마서면 금강로 1210 (송내리),계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,사무 보조원(일반사업체),20260407,20260413,한국장애인고용공단 충남지사,무관,무관,99,99,"10,320",시급,2026-04-07~2026-05-29,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
다산기공(주),1588-1519,전라북도 완주군 봉동읍 테크노밸리2로 17 다산기공,상용직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,기계·금속 분야 단순 종사원,20260407,20260407,한국장애인고용공단 전북지사,무관,무관,100,100,"2,500,000",월급,2026-04-07~2026-04-24,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
주암댐노인복지관,1588-1519,전라남도 순천시 승주읍 승주로 696 주암댐노인복지관,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,노인 생활지도원,20260407,20260407,한국장애인고용공단 전남지사,0년0개월,무관,101,101,"1,426,000",월급,2026-04-07~2026-05-31,정밀한 작업가능,,일부 서서하는 작업 가능,,요양보호사/사회복지사/
(주) 맨파워코리아,1588-1519,"서울특별시 강남구 테헤란로 409 동신빌딩 11층 (삼성동, ,29,30 동신빌딩11층)",시간제,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,총무 및 일반 사무원,20260407,20260407,한국장애인고용공단 전북지사,무관,무관,102,102,"11,420",시급,2026-04-07~2026-05-31,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
혁신마취통증의학과의원,1588-1519,전북특별자치도 완주군 이서면 기지로 47 2층,계약직,무관,,,,주차 관리원 및 안내원,20260407,20260407,한국장애인고용공단 전북지사,0년0개월,무관,103,103,"10,320",시급,2026-04-07~2026-04-30,,,,,
혁신마취통증의학과의원,1588-1519,전북특별자치도 완주군 이서면 기지로 47 2층,계약직,무관,,,,의료 및 치료 보조원(재활치료보조원 등),20260407,20260407,한국장애인고용공단 전북지사,0년0개월,무관,104,104,"10,320",시급,2026-04-07~2026-04-30,,,,,
의료법인순천의료재단,1588-1519,경기도 성남시 수정구 수정로 76 10-12층,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",20260407,20260407,한국장애인고용공단 경기동부지사,무관,무관,105,105,"2,156,880",월급,2026-04-07~2026-05-06,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
(주)호텔롯데 롯데월드,1588-1519,서울특별시 송파구 올림픽로 240 (잠실동),계약직,무관,,,,거리 및 공공장소 청소원(환경 미화원),20260407,20260407,한국장애인고용공단 서울동부지사,무관,무관,106,106,"12,384",시급,2026-04-07~2026-05-29,,,,,
혁신마취통증의학과의원,1588-1519,전북특별자치도 완주군 이서면 기지로 47 2층,계약직,무관,,,,"공공장소 환경미화원 (공원, 휴양림 등)",20260407,20260407,한국장애인고용공단 전북지사,0년0개월,무관,107,107,"10,320",시급,2026-04-07~2026-04-24,,,,,
주식회사 케이비손보씨엔에스,1588-1519,"서울특별시 관악구 보라매로3길 23  (봉천동, 대교타워)",계약직,무관,,,,고객 상담원(금융·보험·부동산),20260406,20260406,한국장애인고용공단 전북지사,무관,무관,108,108,"11,000",시급,2026-04-06~2026-05-15,,,,,
사단법인 공감과 어울림 매호로지스,1588-1519,경기도 수원시 팔달구 팔달로 41 (고등동) 112호,상용직,무관,,,,사무 보조원(일반사업체),20260406,20260406,한국장애인고용공단 경기지역본부,0년0개월,무관,109,109,"10,320",시급,2026-04-06~2026-06-30,,,,,
엠에이티플러스(주),1588-1519,경기도 안성시 공도읍 만수동길 31-22 .,계약직,무관,,,,사무 보조원(일반사업체),20260406,20260406,한국장애인고용공단 경기지역본부,무관,고졸,110,110,"1,500,000",월급,2026-04-06~2026-04-29,,,,,
㈜에스티아이,1588-1519,경기도 안성시 공도읍 봉기길 1 (양기리),계약직,경력,,,,창고 관리원,20260406,20260406,한국장애인고용공단 경기지역본부,2년0개월,고졸,111,111,"2,600,000",월급,2026-04-06~2026-04-30,,,,,
주식회사 하랑커뮤니티,1588-1519,대전광역시 유성구 복용북로33번길 16-20  (복용동),상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,제과원 및 제빵사,20260406,20260406,한국장애인고용공단 대전지역본부,0년개월,무관,112,112,"10,320",시급,2026-04-06~2026-04-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
엘아이지정밀기술(주),1588-1519,대전광역시 유성구 죽동로 167 엘아이지정밀기술,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,기타 네트워크 및 정보 보안 전문가(디지털 포렌식 전문가 등),20260406,20260406,한국장애인고용공단 대전지역본부,무관,무관,113,113,"10,320",시급,2026-04-06~2026-04-30,,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
광안초등학교,1588-1519,부산광역시 수영구 광안로21번가길 35 (광안동),상용직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260406,20260414,한국장애인고용공단 부산지역본부,무관,무관,114,114,"1,072,250",월급,2026-04-06~2026-04-24,,,,,
주식회사 단장,1588-1519,경기도 남양주시 진건읍 고재로149번길 9-2 주식회사 단장,상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,섬유·의복 분야 단순 종사원,20260406,20260406,한국장애인고용공단 경기북부지사,0년개월,무관,115,115,"10,320",시급,2026-04-06~2026-07-05,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(사)우리들행복나눔 인쇄사업단,1588-1519,경기도 고양시 일산서구 덕산로 196-6 1동(가좌동),상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260406,20260406,한국장애인고용공단 경기북부지사,무관,무관,116,116,"1,078,440",월급,2026-04-06~2026-07-05,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
육군본부,1588-1519,충청남도 계룡시 신도안면 계룡대로 759 사서함 501-4호,상용직,무관,,,,군무원,20260403,20260403,한국장애인고용공단 대전지역본부,0년개월,무관,117,117,"2,170,000",월급,2026-04-03~2026-04-29,,,,,
주식회사 티제이솔루션,1588-1519,대전광역시 서구 만년로67번길 22 타워 티 (만년동),상용직,무관,,,,영업 기획·관리·지원 사무원,20260403,20260403,한국장애인고용공단 경기지역본부,무관,무관,118,118,"1,900,000",월급,2026-04-03~2026-04-30,,,,,전산응용토목제도기능사/전산응용건축제도기능사/
해군본부,1588-1519,충청남도 계룡시 신도안면 계룡대로 663 (사서함 501-201),상용직,무관,,,,군무원,20260403,20260403,한국장애인고용공단 대전지역본부,0년0개월,무관,119,119,"2,170,000",월급,2026-04-03~2026-04-29,,,,,
롯데카드주식회사,1588-1519,"서울특별시 종로구 새문안로 76 27층 (신문로1가, 콘코디언빌딩)",계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,사무 보조원(일반사업체),20260403,20260406,한국장애인고용공단 경기북부지사,무관,무관,120,120,"2,770,000",월급,2026-04-03~2026-07-02,정밀한 작업가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
제이에스병원,1588-1519,"경기도 수원시 권선구 금곡로196번길 76  (금곡동, 서울JS프라자)",상용직,무관,,,,환자케어 보조원(환자이동 도우미 등),20260403,20260407,한국장애인고용공단 경기지역본부,무관,무관,121,121,"10,320",시급,2026-04-03~2026-05-31,,,,,
(주)하나별,1588-1519,"경기도 하남시 하남대로 947 A동 814,815(풍산동)",상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,주방정리원,20260403,20260403,한국장애인고용공단 경기동부지사,0년0개월,무관,122,122,"1,083,600",월급,2026-04-03~2026-05-01,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
에스이앤컴퍼니,1588-1519,인천광역시 미추홀구 방축로 332 (주안동),상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,용접 사상원 및 보조원,20260403,20260403,한국장애인고용공단 인천지사,0년개월,무관,123,123,"10,320",시급,2026-04-03~2026-04-30,큰 물품 조립가능,20Kg 이상의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
데크카본,1588-1519,전라북도 전주시 덕진구 운암로 30 데크카본  (팔복동2가),시간제,무관,,일상적 활동 가능,간단한 듣고 말하기 가능,사무 보조원(일반사업체),20260402,20260402,한국장애인고용공단 전북지사,0년0개월,고졸,124,124,"11,000",시급,2026-04-02~2026-04-30,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
주식회사 케이비손해보험,1588-1519,서울특별시 강남구 테헤란로 117 (역삼동),계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하는 작업 어려움,사무 보조원(일반사업체),20260402,20260413,한국장애인고용공단 경기지역본부,0년개월,무관,125,125,"2,160,000",월급,2026-04-02~2026-04-24,정밀한 작업가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
데크카본,1588-1519,전라북도 전주시 덕진구 운암로 30 데크카본  (팔복동2가),시간제,무관,,일상적 활동 가능,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260402,20260402,한국장애인고용공단 전북지사,0년0개월,무관,126,126,"11,000",시급,2026-04-02~2026-04-30,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(주)현대캐터링시스템,1588-1519,경기도 성남시 분당구 야탑로 98  (야탑동),상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,단체급식 배식원,20260402,20260402,한국장애인고용공단 경기동부지사,무관,무관,127,127,"10,320",시급,2026-04-02~2026-07-01,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
주식회사이수앱지스,1588-1519,"경기도 성남시 분당구 대왕판교로712번길 22 C동 5층 (삼평동, 글로벌 R&D센터)",계약직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260402,20260402,한국장애인고용공단 경기동부지사,무관,무관,128,128,"13,000,000",연봉,2026-04-02~2026-04-30,,,,,
대전웰니스병원,1588-1519,대전광역시 대덕구 동서대로1777번길 2  (송촌동),계약직,무관,,,,사회복지사(사회복지시설),20260402,20260402,한국장애인고용공단 대전지역본부,무관,무관,129,129,"26,000,000",연봉,2026-04-02~2026-04-24,,,,,사회복지사2급/
쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd,1588-1519,서울특별시 송파구 법원로11길 12 8층 (문정동),상용직,무관,한손보조작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,물류 사무원(물류 관리사),20260402,20260403,한국장애인고용공단 인천지사,무관,무관,130,130,"1,120,000",월급,2026-04-02~2026-04-30,정밀한 작업가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
사단법인한마음장애인복지회(한마음사업단),1588-1519,충청남도 천안시 동남구 수신면 발산1길 171 발산1길 171,상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260402,20260402,한국장애인고용공단 충남지사,무관,무관,131,131,"10,320",시급,2026-04-02~2026-05-30,,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
주식회사태양인더스트리,1588-1519,울산광역시 남구 처용로 800 (주)태양인더스트리 (주)현대미포조선),상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,기타 서비스 단순종사원(사우나·찜질방 등),20260402,20260402,한국장애인고용공단 울산지사,0년개월,무관,132,132,"10,320",시급,2026-04-02~2026-04-30,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
가제트네트웍스,1588-1519,경기도 고양시 덕양구 서정로 74 (도내동),상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,전기·전자 분야 단순 종사원,20260402,20260402,한국장애인고용공단 경기북부지사,0년0개월,무관,133,133,"2,156,880",월급,2026-04-02~2026-07-01,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
주식회사 이세큐시스템,1588-1519,"인천광역시 연수구 인천타워대로132번길 9  (송도동, 롯데몰 송도 캐슬파크)",상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,매장 정리원(매장 보조원),20260402,20260406,한국장애인고용공단 경기북부지사,무관,무관,134,134,"1,900,000",월급,2026-04-02~2026-07-01,,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
쿠팡로지스틱스서비스유한회사,1588-1519,서울특별시 강남구 광평로 280 (수서동),상용직,무관,,일상적 활동 가능,듣고 말하기에 어려움 없음,사무 보조원(일반사업체),20260401,20260401,한국장애인고용공단 경기서부지사,0년개월,무관,135,135,"2,230,000",월급,2026-04-01~2026-04-30,,,,,
현대해상화재보험（주）,1588-1519,"서울특별시 종로구 세종대로 163 191-1 (세종로, 현대해상빌딩)",계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,사무 보조원(일반사업체),20260401,20260421,한국장애인고용공단 광주지역본부,무관,무관,136,136,"2,360,000",월급,2026-04-01~2026-05-29,,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
베스트푸드(주),1588-1519,경기도 군포시 공단로 149 (당동) B107호,상용직,무관,,,,설거지원,20260401,20260401,한국장애인고용공단 경기서부지사,0년개월,무관,137,137,"1,078,440",월급,2026-04-01~2026-04-30,,5Kg 이내의 물건을 다룰 수 있음,,,
주식회사 엘티팜,1588-1519,충청북도 청주시 서원구 현도면 죽암도원로 12-40 (죽암리),계약직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,"제품 포장원(섬유, 전기전자, 식품 제외)",20260401,20260415,한국장애인고용공단 충남지사,무관,무관,138,138,"10,320",시급,2026-04-01~2026-06-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
크레텍 책임,1588-1519,대구광역시 중구 달성로 100 (인교동),상용직,무관,,,,하역적재원,20260401,20260403,한국장애인고용공단 대구지역본부,0년개월,고졸,139,139,"33,620,000",연봉,2026-04-01~2026-06-30,,,,,
봉황기업,1588-1519,경기도 김포시 장릉로 43 봉황기업 (풍무동),상용직,무관,,,,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260401,20260401,한국장애인고용공단 경기북부지사,무관,무관,140,140,"10,320",시급,2026-04-01~2026-06-30,,,,,
주식회사좋은상자,1588-1519,경기도 김포시 양촌읍 황금로127번길 69 좋은상자빌딩 4층,상용직,무관,,,,사무 보조원(일반사업체),20260401,20260401,한국장애인고용공단 경기북부지사,0년0개월,무관,141,141,"10,320",시급,2026-04-01~2026-06-30,,,,,
유한회사 우성워싱웨이,1588-1519,울산광역시 울주군 웅촌면 고연공단1길 19 고연공단1길 21,상용직,무관,,,,경·소형 화물차 운전원,20260401,20260401,한국장애인고용공단 울산지사,0년개월,무관,142,142,"2,500,000",월급,2026-04-01~2026-06-30,,,,,
가보정1관,1588-1519,경기도 수원시 팔달구 장다리로 282 가보정1관 (인계동),상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,주방 보조원(일반 음식점),20260401,20260401,한국장애인고용공단 경기지역본부,무관,무관,143,143,"1,175,000",월급,2026-04-01~2026-04-30,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
삼육식품,1588-1519,충청남도 보령시 청소면 마참길 38 .,계약직,무관,,,,식품 분야 단순 종사원,20260401,20260421,한국장애인고용공단 충남지사,0년0개월,무관,144,144,"2,200,000",월급,2026-04-01~2026-04-30,,,,,
나는카페 구리시청점,1588-1519,경기도 구리시 아차산로 439 구리시청1층 (교문동),계약직,무관,,,,음료 조리원(바리스타 포함),20260401,20260401,한국장애인고용공단 경기북부지사,무관,무관,145,145,"810,120",월급,2026-04-01~2026-06-30,,,,,
범채티앤씨,1588-1519,경기도 김포시 양촌읍 황금로 117  (메카존),상용직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260401,20260401,한국장애인고용공단 경기북부지사,무관,무관,146,146,"10,320",시급,2026-04-01~2026-06-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
(주)호텔신라,1588-1519,서울특별시 중구 동호로 249 (장충동2가),계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260401,20260406,한국장애인고용공단 서울지역본부,무관,무관,147,147,"1,200,000",월급,2026-04-01~2026-06-30,정밀한 작업가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(주)한창이지엠,1588-1519,충청남도 천안시 서북구 입장면 입장로 249 한창이지엠,계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260331,20260331,한국장애인고용공단 충남지사,무관,무관,148,148,"11,260",시급,2026-03-31~2026-05-29,정밀한 작업가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
천지환경（주）,1588-1519,전라남도 함평군 함평읍 함영로 1685-15 천지환경,계약직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,재활용품 및 폐기물 처리원,20260331,20260331,한국장애인고용공단 전남지사,무관,무관,149,149,"2,400,000",월급,2026-03-31~2026-05-31,정밀한 작업가능,20Kg 이상의 물건을 다룰 수 있음,오랫동안 가능,,
현대건설(주),1588-1519,"서울특별시 종로구 율곡로 75 (계동,현대건설빌딩) 140-2",계약직,무관,,,,사무 보조원(일반사업체),20260331,20260331,한국장애인고용공단 인천지사,0년개월,무관,150,150,"10,320",시급,2026-03-31~2026-04-30,,,,,
힘찬병원,1588-1519,서울특별시 양천구 신목로 120 힘찬병원,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,주방 보조원(일반 음식점),20260331,20260331,한국장애인고용공단 서울남부지사,무관,무관,151,151,"1,079,600",월급,2026-03-31~2026-04-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
오씨아이드림 주식회사,1588-1519,서울특별시 중구 소공로 94 2층 (소공동),계약직,무관,양손작업 가능,,듣고 말하기에 어려움 없음,주방 보조원(일반 음식점),20260331,20260331,한국장애인고용공단 서울지역본부,무관,무관,152,152,"10,500",시급,2026-03-31~2026-04-30,정밀한 작업가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
명품축산물,1588-1519,충청북도 청주시 흥덕구 백봉로 254 (봉명동),상용직,무관,,,,경·소형 화물차 운전원,20260331,20260331,한국장애인고용공단 충북지사,0년0개월,무관,153,153,"2,700,000",월급,2026-03-31~2026-04-30,,,,,
(주)지강산업,1588-1519,"충청북도 제천시 명륜로 81 7층 703호(의림동, 예건빌딩)",상용직,무관,,,,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260331,20260421,한국장애인고용공단 충북지사,0년0개월,무관,154,154,"2,156,880",월급,2026-03-31~2026-05-29,,,,,
이지마디척척의원,1588-1519,경기도 수원시 장안구 창룡대로 175 (연무동) 와이엠메디컬스퀘어,계약직,무관,,,,병원행정 사무원(원무),20260331,20260331,한국장애인고용공단 경기지역본부,0년0개월,무관,155,155,"10,320",시급,2026-03-31~2026-04-30,,,,,
주식회사 위드림（We-Dream）,1588-1519,"경기도 오산시 궐리사로 8  (궐동, 센트하임)",계약직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,주입·포장·상표부착기 등 기타 기계 조작원,20260331,20260331,한국장애인고용공단 경기지역본부,무관,무관,156,156,"2,157,000",월급,2026-03-31~2026-04-30,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
