orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
창원고용센터,취업특강,금융사기예방,창원 관내 구직자(연령 제한 없음),20260423,20260423,1,10:00,2,"창원고용복지+센터 7층, 대강당"
부산동부고용센터,취업특강,(공통)성공하는 대화법,(공통)구직,20260423,20260423,2,01:00,2,"수영역9번,국민연금남부산 4층(별관3강의실)"
파주고용센터,취업특강,만다라트를 활용한 취업계획서 작성하기,,20260423,20260423,2,01:00,2,파주고용복지플러스센터 2층 설명회장
의정부고용센터,취업특강,내 삶에 플러스 금융복지!,실업급여수급자 및 국민취업지원제도 참여자 등 일반 구직자,20260423,20260423,2,02:00,2,의정부고용센터 1층 직업진로 특강실
부산북부고용센터,취업특강,"강점분석, 나를 이해하기(10:00)",취업을 희망하는 모든 구직자,20260423,20260423,1,10:00,2,부산북부고용센터(화명동) 4층 키움방
거제고용센터,취업특강,상속과 증여 이해하기,구직자,20260423,20260423,1,10:00,2,거제고용복지+센터 프로그램실
원주고용센터,취업특강,중장년 맞춤 이력서,실업급여수급자 및 구직자,20260423,20260423,1,09:30,2,원주고용센터 2층 중강의실
부천고용센터,취업특강,알기쉬운 근로기준법,모든구직자,20260423,20260423,1,10:00,2,부천고용복지플러스센터 7층
안양고용센터,취업특강,취업자를 위한 구직서류 작성법,"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자",20260423,20260423,1,10:00,2,안양고용센터 3층 대회의실
고양고용센터,취업특강,내권리를 지키는 핵심노동법,"일반 구직자, 국민취업지원제도 참여자, 실업급여 수급자,  이직 및 전직 예정자 등",20260423,20260423,1,10:00,2,3층 프로그램4실
시흥고용센터,취업특강,신중년 (경력무관형)을 위한 취업특강,"성별, 연령 무관",20260423,20260423,2,02:00,2,시흥고용센터 5층(프로그램 1실)
서울서부고용센터,취업특강,재취업을 위한 평생월급 프로젝트,,20260423,20260423,2,03:00,2,서울서부고용센터 4층 특강실
대구고용센터,취업특강,슬기로운 직업훈련 선택,"실업급여수급자, 국민취업지원제도 참여자 등 지역 실업자",20260423,20260423,1,10:00,2,대구고용복지+센터(대구 수성구 동대구로 392) 5층 대회의실
인천고용센터,단기집단상담프로그램,직업심리검사 결과를 통한 자기이해,모든 구직자,20260423,20260423,2,02:00,3,인천고용센터 4층 집단 프로그램실
서울북부고용센터,단기집단상담프로그램,2026년 중장년 생애경력설계 프로그램,(40~64세까지) 중장년 구직자,20260423,20260423,2,01:00,4,서울북부고용센터 2층 교육실
제천고용센터,취업능력향상(행복오름) 프로그램 Ⅰ,저소득자_내일을 위한 생애설계,저소득자,20260423,20260423,1,10:00,1.5,제천고용센터 3층 대회의실
대전고용센터,기타(인별),"이력서, 자기소개서, 면접 등 구직기술 1:1 컨설팅 등",만 15세~만 34세 구직 청년,20260423,20260423,2,03:00,1,대전고용복지플러스센터 4층 스터디룸
대전고용센터,기타(인별),"이력서, 자기소개서, 면접 등 구직기술 1:1 컨설팅 등",만 15세~만 34세 구직 청년,20260423,20260423,2,04:00,1,대전고용복지플러스센터 4층 스터디룸
거제고용센터,취업특강,AI로 알아보는 맞춤 직무탐색,구직자,20260423,20260423,2,02:00,2,거제고용복지+센터 프로그램실
광주고용센터,취업특강,신중년 (경력무관형)을 위한 취업특강,"(만35세 이상)일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260424,20260424,1,10:00,2,광주고용복지+센터 9층 취업특강실
서울북부고용센터,단기집단상담프로그램,(~50세까지) MBTI를 통한 '나' 이해하기,"(~50세까지) 국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260424,20260424,1,10:00,3,서울북부고용센터 9층 프로그램 2실
포항고용센터,취업특강,재취업자 구직서류 작성법,"일반 구직자, 실업급여 수급자, 국민취업지원사업 참여자 등",20260424,20260424,1,10:00,2,포항고용복지플러스센터 1층 프로그램실
부산고용센터,취업특강,(고령층) 구직기술 습득하기2(취업성공 사례 중심),고령층,20260424,20260424,1,10:00,2,부산고용센터 4층 제4프로그램실
경산고용센터,취업특강,(공통)직장생활을 위한 소통의 기술,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260424,20260424,1,10:00,2,경산고용복지+센터 2층 배움마루
하남고용센터,취업특강,"노후준비,트렌드가바뀐다",구직자,20260424,20260424,2,02:00,2,하남고용센터 3층 취업성공룸
서초고용센터,취업특강,5060 디지털리터러시 구직,,20260424,20260424,1,10:00,2,서초고용복지플러스센터 4층 프로그램 3실
포항고용센터,취업특강,취업에 성공하는 면접요령- 재취업자,"일반 구직자, 실업급여 수급자, 국민취업지원사업 참여자 등",20260424,20260424,2,02:00,2,포항고용복지플러스센터 1층 프로그램실
서울관악고용센터,취업특강,성공적인 면접전략,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260424,20260424,2,02:00,2,서울관악고용복지+센터 2층 프로그램2실
성남고용센터,취업특강,취업에 성공하는 이미지 메이킹,,20260424,20260424,2,02:00,2,성남고용센터 별관 4층 내일룸
경기광주고용센터,취업특강,재취업자 구직서류 작성법,"일반구직자, 실업급여수급자, 국취참여자 등",20260424,20260424,2,03:30,2,경기광주고용복지+센터 실업급여교육장
인천고용센터,취업특강,"재미있는 전기, 소방이야기",모든 구직자,20260424,20260424,2,03:00,2,인천고용센터 6층 교육장
광주고용센터,취업특강,신중년 (경력연계형)을 위한 취업특강,"(만35세 이상)일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260424,20260424,2,01:30,2,광주고용복지+센터 9층 취업특강실
용인고용센터,취업특강,(공통)찾아가는 신용교육,"일반 구직자, 국민취업지원제도 참여자 등",20260424,20260424,2,02:00,2,용인고용센터 [3층] 프로그램실
구리고용센터,취업특강,성공적인 직장생활을 위한 대인관계(4회),취업에 도움이 필요하신 분,20260424,20260424,2,02:00,2,구리고용센터 프로그램1실
경산고용센터,취업특강,(공통)취업어려움 극복하기,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260424,20260424,2,01:00,2,경산고용복지+센터 2층 배움마루
목포고용센터,취업특강,구직서류 작성법,"실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260424,20260424,2,02:00,2,목포고용센터 별관2층 도약실
평택고용센터,취업특강,고용24 활용하기,구직자(사전 신청 필수),20260424,20260424,2,02:00,2,"평택고용복지+센터 1층, 프로그램 1실"
제주특별자치도고용센터,취업특강,취업을 위한 자존감 올리기,,20260424,20260424,1,10:00,2,제주고용센터 5층 집단 상담실
제주특별자치도고용센터,취업특강,취업을 위한 나 이해하기,,20260424,20260424,2,01:00,2,제주고용센터 5층 집단 상담실
동두천고용센터,취업특강,정신건강특강,,20260424,20260424,2,02:00,2,동두천고용센터 프로그램실1
인천고용센터,취업특강,고용24 구인.구직 활용법,모든 구직자,20260424,20260424,1,10:00,2,인천고용센터 별관 2층 취업특강실
여수고용센터,취업특강,알기쉬운 산업안전보건,구직자,20260424,20260424,1,10:00,2,여수고용노동지청 4층 이순신홀
청주고용센터,취업특강,노후생활을 위한 5대 금융리스크 관리,[관내 거주자만 가능] 구직에 필요한 정보를 습득하고자 하는 구직자,20260424,20260424,1,10:00,2,청주고용복지+센터 3층 행사장
양산고용센터,취업특강,최신 채용 동향과 입사지원서 작성 전략(청년구직자18~34세),지역내 청년층,20260424,20260424,2,02:00,2,양산고용복지+센터 4층 프로그램실
전주고용센터,취업특강,전역예정 군인 특강: 직업심리검사(전역예정군인만 해당),39세 이하 청년구직자,20260424,20260424,1,10:00,2,전주고용센터 8층 청년센터 세미나룸
창원고용센터,취업특강,고용24 활용하기,창원 관내 구직자(연령 제한 없음),20260424,20260424,2,02:00,2,"창원고용복지+센터 4층, 제2실"
서울동부고용센터,취업특강,취업에 성공하는 면접요령(재취업자),,20260424,20260424,1,10:00,2,서울동부고용센터 5층 취업특강실
목포고용센터,취업특강,펀(FUN)한 대화법,"실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260424,20260424,1,10:00,2,목포고용센터 별관2층 도약실
광주광산고용센터,취업특강,신중년 (경력무관형)을 위한 취업특강,"(만35세 이상)실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자 등",20260424,20260424,1,10:00,2,"광주광산고용센터 3층, 취업특강실"
대전고용센터,취업특강,다시 뛰는 인생 2막! 경력개발,,20260424,20260424,1,09:30,2,대전고용복지플러스센터 5층 단기특강실
서울동부고용센터,취업특강,취업 준비 필수 근로기준법,구직자,20260424,20260424,2,01:00,2,서울동부고용센터 5층 취업특강실
김천고용센터,취업특강,신용회복과 재취업,"구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260424,20260424,1,10:30,2,김천고용복지플러스센터 5층 교육장
서울관악고용센터,단기집단상담프로그램,노무사가 알려주는 근로조건 이해  일자리 수요데이 in 서울관악,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260424,20260424,2,02:00,3,서울관악고용복지+센터 2층 중회의실
파주고용센터,취업특강,스트레스 관리 및 자살예방교육,,20260424,20260424,2,02:00,2,파주고용복지플러스센터 2층 설명회장
포항고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상","일반 구직자, 실업급여 수급자, 국민취업지원사업 참여자 등",20260427,20260430,1,09:30,24,포항고용센터 본관 3층 교육장  (포항시 북구 중흥로 221)
전주고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,5060 신중년 구직자,20260427,20260429,1,10:00,18,전주고용센터 7층 집단상담운영실
대구고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",성공적인 취업을 희망하는 구직자,20260427,20260430,1,09:30,24,대구고용센터 9층 성취프로그램실
김해고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",,20260427,20260430,1,10:00,24,김해고용센터 2층 프로그램실
청주고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",취업을 희망하는 관내 구직자,20260427,20260430,1,09:30,24,청주고용복지+센터 3층 진로프로그램실
수원고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상","[청년]일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260427,20260430,1,09:30,24,수원고용센터 별관 2층 (희망)프로그램실
서초고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",,20260427,20260430,1,09:30,24,서초고용복지플러스센터 4층 프로그램 3실
부산동부고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",만34세이하 청년층 구직자,20260427,20260430,1,09:30,24,별관 CAP실
충주고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",,20260427,20260430,1,09:30,16,온라인
인천고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",34세 미만 청년 구직자,20260427,20260430,1,09:30,24,인천고용센터 별관 2층 CAP@실/ 인천광역시 남동구 문화로 119-1 승산빌딩
부산북부고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",만 34세 이하 청년 구직자,20260427,20260430,1,10:00,24,부산북부고용센터(화명동) 4층 두드림방
서울북부고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상","(만18세~34세 청년층) 국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260427,20260430,1,09:30,24,서울북부고용센터 9층 프로그램 1실
인천북부고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상 (월~목 4일간 모두 참여하시는 프로그램입니다)",,20260427,20260430,1,10:00,24,인천북부고용센터 5층
구리고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",심리적 취약계층,20260427,20260430,1,09:30,24,구리고용센터 프로그램1실
대구서부고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","취업을 위해 자존감 회복이 필요한 구직자(일반 구직자, 국민취업지원제도 참여자, 실업급여 수급자 등)",20260427,20260430,1,09:30,24,대구서부고용센터 별관 7층 안쪽 프로그램실 (아테네웨딩 건물 7층)
경산고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","일반 구직자, 실업급여 수급자, 국민취업지원사업 참여자 등",20260427,20260430,1,10:00,24,경산고용복지+센터 2층 배움마루
부산고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",,20260427,20260430,1,09:30,24,부산고용센터 4층 5프로그램실
안산고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260427,20260430,1,09:30,24,안산고용센터 5층 프로그램 1실
경주고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260427,20260430,1,10:00,24,경주고용센터 2층 교육장
인천고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","자존감 회복, 자신감 증진, 의사소통능력 향상이 필요한 구직자",20260427,20260430,1,09:30,24,인천고용센터 별관 2층/ 인천광역시 남동구 문화로 119-1 승산빌딩
안양고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","취업자신감 회복, 의사소통, 대인관계 능력향상을 희망하는 구직자",20260427,20260430,1,09:30,24,안양고용센터 3층 CAP진행실
천안고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","자신감 및 대인관계 향상, 구직동기 회복을 원하는 성인 구직자",20260427,20260430,1,09:30,24,천안고용센터 9층 내일이룸실/ 강의명: 취업희망프로그램(4일간)
서울서부고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",일반구직자,20260427,20260430,1,09:30,24,서울서부고용센터 5층 프로그램 1실
서울동부고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",자기이해를 기반으로 한 취업의욕 향상이 필요한 구직자,20260427,20260430,1,09:30,24,서울동부고용센터 5층 CAP실
시흥고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","성별, 연령 무관 참여",20260427,20260430,1,09:30,24,시흥고용센터 5층(프로그램 2실)
광양고용센터,취업특강,재취업자 구직서류 작성법,"국민취업지원제도 참여자, 실업급여 수급자, 일반 구직자 등",20260427,20260427,1,10:00,2,광양고용복지+센터 9층 교육장
안산고용센터,취업특강,(신중년)완전초보-고용24 활용법,"실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자/본인인증가능하신분",20260427,20260427,1,10:00,2,안산고용센터 5층 프로그램 2실
보령고용센터,취업특강,국민연금과 함께하는 노후 설계,,20260427,20260427,2,02:00,2,보령고용센터 4층 대강당
인천북부고용센터,취업특강,교류분석(TA)을 이용한 의사소통 능력 향상,,20260427,20260427,1,10:00,2,인천북부고용센터 5층 교육장
통영고용센터,취업특강,정신건강특강,,20260427,20260427,1,09:30,2,통영고용센터 2층 교육장
광주고용센터,취업특강,내 스마트폰으로 고용24(구 워크넷)활용 (중장년),"일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 (45세이상~64세이하)",20260427,20260427,2,01:30,2,광주고용복지+센터 9층 취업특강실
인천고용센터,취업특강,알기쉬운 근로기준법,모든 구직자,20260427,20260427,2,03:00,2,인천고용센터 6층 교육장
부산사하고용센터,취업특강,(고령층) 이력서작성과 이미지메이킹,고령층,20260427,20260427,1,10:00,2,부산사하고용센터 10층 제2프로그램실
대전고용센터,취업특강,우리에게 필요한 부채관리,,20260427,20260427,1,09:30,2,대전고용복지플러스센터 5층 단기특강실
울산고용센터,취업특강,취업 방해요소 다루기,"실업급여수급자 , 국민취업지원제도 참여자, 일반구직자",20260427,20260427,1,09:30,2,울산고용복지+센터 8층 취업특강실
서울고용센터,취업특강,(중장년) 중장년과 MZ소통의 기술,40대 이상 구직자,20260427,20260427,1,10:00,2,서울고용센터 4층 단기특강실
인천고용센터,취업특강,"제약, 바이오 분야 채용 트랜드","제약, 바이오 산업에 관심있는 구직자 (~30대 중반)",20260427,20260427,2,02:00,2,인천고용센터 별관 2층 취업특강실 /인천시 남동구 문화로 119-1 승산빌딩 2층
제주특별자치도고용센터,취업특강,직장인을 위한 대화의 기술,,20260427,20260427,2,01:00,2,제주고용센터 5층 집단 상담실
양산고용센터,취업특강,성공하는 대화법(전연령층),"실업급여수급자, 국민취업지원제도참여자, 일반구직자",20260427,20260427,2,02:00,2,양산고용센터 4층 취업지원프로그램실
인천서부고용센터,취업특강,(대상: 40세이상 중장년) 제N차 산업 숨겨진 기회발견하기-40세이상 구직자,"실업급여수급자, 국민취업지원제도 참여자, 일반구직자",20260427,20260427,1,10:00,2,인천서부고용복지+센터 8층 프로그램실 ( 인천 서구 이음1로 389 에이플러스빌딩 8층)
용인고용센터,취업특강,(공통)성공적인 면접전략,"일반 구직자, 국민취업지원제도 참여자 등",20260427,20260427,1,10:00,2,용인고용센터 [3층] 프로그램실
울산고용센터,취업특강,일잘러의 대화법,"실업급여수급자 , 국민취업지원제도 참여자, 일반구직자",20260427,20260427,2,02:00,2,울산고용복지+센터 8층 취업특강실
제주특별자치도고용센터,취업특강,직장 적응을 위한 비즈니스 매너,,20260427,20260427,1,10:00,2,제주고용센터 5층 집단 상담실
대구서부고용센터,취업특강,건강한 직업생활을 위한 안전,,20260427,20260427,1,10:00,2,대구서부고용복지플러스센터 8층 대회의실
서울관악고용센터,취업특강,"취업, 100세시대 생존전","일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260427,20260427,1,10:00,2,서울관악고용복지+센터 2층 프로그램1실
부산고용센터,취업특강,(전연령층)구직스트레스 관리,전연령,20260427,20260427,1,10:00,2,부산고용센터 4층 제4프로그램실
의정부고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,"[청년취업GYM] 기본 구직기술 집중 트레이닝 과정(자기특성 이해, 직업정보 탐색, 자기소개서 작성 및 면접 실습)",18세~39세까지 청년 구직자(진로결정자),20260427,20260428,1,09:30,12,의정부고용센터 2층 집단상담프로그램실
강릉고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,2026042701,,20260427,20260428,1,10:00,12,강릉고용센터 4층 프로그램실
부산동부고용센터,[4U] 40대 구직자 취업역량강화,[40대] 40대 구직자의 직업전환 역량 및 변화적응력 향상,만35세~만49세 구직자,20260427,20260429,1,09:30,18,별관 4U프로그램실
서울관악고용센터,[4U] 40대 구직자 취업역량강화,[40대 구직자 대상] 40대 구직자의 직업전환 역량 및 변화적응력 향상(3일 모두 참석 시 수료증 발급),직업경험이 있는 만35세~49세 구직자,20260427,20260429,1,09:30,18,서울관악고용복지+센터 2층 프로그램2실
안양고용센터,청년취업ON(경영사무),[청년취업ON] (온라인-청년) 경영사무 직종 소규모 취업컨설팅,경영 사무 직군의 구직기술 향상에 관심있는 청년층(20~34세이전) **참여접수시 이력서&자기소개서 제출 필수**,20260427,20260430,1,10:00,16,온라인
대전고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,,20260427,20260429,1,09:30,18,둔산우체국 9층 프로그램실
이천고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,,20260427,20260429,1,09:30,18,이천고용센터 1층 회의실
부천고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,이전직을 준비하는 신중년 50세~60대,20260427,20260429,1,09:30,18,부천고용복지플러스센터 9층 캡프로그램실
서울강남고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,40대후반~60대 구직자(중장년층 대상),20260427,20260429,1,09:30,18,강남고용센터 3층 집단상담프로그램실
성남고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",구직자,20260427,20260430,1,09:30,24,성남고용센터 별관 4층 성취룸
창원고용센터,취업특강,신용관리와 채무조정 제도,창원 관내 구직자(연령 제한 없음),20260428,20260428,1,10:00,2,"창원고용복지+센터 7층, 대강당"
광주고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"(50-60세)일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260428,20260430,1,09:30,18,광주고용복지+센터 8층 희망실
서울고용센터,취업특강,구직 이미지 메이킹,"실업급여 수급자, 국취제 참여자, 일반구직자 등",20260428,20260428,2,03:00,2,서울고용센터 4층 단기특강실
인천북부고용센터,취업특강,재취업성공을 위한 동기부여전략,,20260428,20260428,1,10:00,2,인천북부고용센터 5층 교육장
수원고용센터,취업특강,"2026년 新이력서, 자기소개서 작성하기","일반구직자, 실업급여수급자 및 취업성공패키지, 국민취업지원제도 참여자 등",20260428,20260428,2,02:00,2,수원고용센터 별관 2층 단기프로그램실
청주고용센터,취업특강,재취업에 성공하는 면접기술 습득하기,[관내 거주자만 가능] 구직에 필요한 정보를 습득하고자 하는 구직자,20260428,20260428,1,10:00,2,청주고용복지+센터 3층 행사장
동두천고용센터,취업특강,"강점분석, 나를 이해하기",모든 구직자,20260428,20260428,2,02:00,2,동두천고용센터 프로그램실1
부천고용센터,취업특강,고용24 완전정복,모든 구직자,20260428,20260428,1,10:00,2,부천고용복지플러스센터 7층 단기취업특강실
춘천고용센터,취업특강,취업성공을 위한 이미지메이킹 스킬 UP,구직자,20260428,20260428,1,10:00,2,춘천고용센터 3층 교육장
서울서부고용센터,취업특강,면접기술 습득하기,,20260428,20260428,1,10:00,2,서울서부고용센터 4층 특강실
고양고용센터,취업특강,(금융)금융사기예방,"일반 구직자, 국민취업지원제도 참여자, 실업급여 수급자,  이직 및 전직 예정자 등",20260428,20260428,1,10:00,2,3층 프로그램4실
부산북부고용센터,취업특강,(중장년) 맞춤형 취업정보 탐색(10:00),(중장년) 취업을 희망하는 중장년 구직자,20260428,20260428,1,10:00,2,부산북부고용센터(화명동) 4층 키움방
시흥고용센터,취업특강,2026년 시흥지역 청년정책설명회[청(靑) 고(GO+雇) 프로젝트],시흥지역 청년 누구나( ~39세),20260428,20260428,2,02:00,2,시흥고용복지+센터 5층 프로그램 5실
수원고용센터,취업특강,신중년 (경력무관형)을 위한 취업특강,"(중장년) 일반구직자, 실업급여수급자 및 취업성공패키지, 국민취업지원제도 참여자 등",20260428,20260428,1,10:00,2,수원고용센터 별관 2층 단기프로그램실
고성고용센터,취업특강,중장년 맞춤 이력서,［연령제한: 만 40세 이상］실업급여 수급자/국민취업지원제도 참여자/재직자/구직자 등 통영·고성·거제 거주자,20260428,20260428,1,10:00,2,"고성고용센터 교육장(고성군 고성읍 동외로 175, 양강빌딩 5층)"
안양고용센터,취업특강,성공취업을 위한 취업걸림돌 찾기,"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자",20260428,20260428,1,10:00,2,안양고용센터 3층 대회의실
대구고용센터,취업특강,참 쉬운 신용관리,"실업급여수급자, 국민취업지원제도 참여자 등 지역 실업자",20260428,20260428,1,10:00,2,대구고용복지+센터(대구 수성구 동대구로 392) 5층 대회의실
이천고용센터,취업특강,생명지킴이교육(우울증 예방 등),구직자 등,20260428,20260428,2,02:00,2,이천고용센터 3층 교육장
안산고용센터,취업특강,취업성공을 부르는 시간관리,,20260428,20260428,2,02:00,2,안산고용센터 5층 대강당
광주광산고용센터,취업특강,경제적 여유를 만드는 구직전략(소비관리),"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자 등",20260428,20260428,2,02:00,2,"광산고용센터 3층, 취업특강실"
인천고용센터,단기집단상담프로그램,생성형 AI 활용 구직기술 습득 (실습형),"생성형 AI를 활용한 기업분석 및 자기소개서 작성을 배우고 싶은 청년 구직자 (35세 미만, 청년층), 실습형으로 개인 노트북 필수 지참 필요",20260428,20260428,2,02:00,3,인천고용센터 별관 2층 취업특강실 /인천시 남동구 문화로 119-1 승산빌딩 2층
부산동부고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,"청년 취업정보 수집, 구직기술 향상(이력서, 자소서, 면접)",💕만34세이하 청년층 구직자,20260428,20260429,1,09:30,12,별관 GYM실
서울관악고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,"[청년취업GYM] ""진로결정자 대상"" 청년들의 취업동기 함양, 경력탐색, 구직기술과 직장적응 향상 목적 모듈형 프로그램(2일 모두 참석해야 수료증 배부)",~만34세 이하 청년층,20260428,20260429,1,09:30,12,서울관악고용복지+센터 2층 프로그램1실
통영고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,2일 만에 끝내는 취업 역량 강화 프로그램,,20260428,20260429,1,09:30,12,거제시 리본플라자 6층 강의실
인천고용센터,마음똑똑심플,[마음똑똑] (온라인-구직자) 자기이해를 기반으로 한 취업의욕 향상,[청년층(20대~30대초반) 대상] 자기이해 및 정리를 통해 구직의 방향성을 정하고 싶으신 분,20260428,20260430,1,10:00,12,실시간 온라인 비대면 (ZOOM 프로그램) 운영
대전고용센터,마음똑똑심플,[마음똑똑] (구직자) 자기이해를 기반으로 한 취업의욕 향상,구직의욕 향상이 필요한 구직자,20260428,20260429,1,09:30,12,대전고용복지플러스센터 4층 프로그램실
고양고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"재취업을 희망하는 신중년(5060대),하루 6시간(0930~1630) 3일 수료과정.",20260428,20260430,1,09:30,18,3층 프로그램3실
대구서부고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"50대~60대 일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260428,20260430,1,09:30,18,대구서부고용센터 본관 2층 프로그램실(2층 입구 좌측 위치)
광주광산고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"(5060 세대)실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자 등",20260428,20260430,1,09:30,18,광주광산고용센터 3층 집단상담실
서울북부고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"(신중년 5060세대) 국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260428,20260430,1,09:30,18,서울북부고용센터 9층 프로그램 2실
서울북부고용센터,취업특강,신용회복위원회와 함께하는 신용관리,"국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260428,20260428,2,02:00,2,서울북부고용센터 9층 프로그램 3실
부산고용센터,취업특강,(고령층) 구직자를 위한 대화의 기술,고령층,20260429,20260429,1,10:00,2,부산고용센터 4층 4프로그램실
목포고용센터,기타(인별),"한국폴리텍대학 전남캠퍼스 탐방 프로그램- 직업훈련 과정 및 학위과정 소개, 실습장 견학 등","실업급여 수급자, 국민취업지원제도 참여자, 일반 구직자 등 진로 탐색중인 근로자",20260429,20260429,2,01:30,3,한국폴리텍대학 전남캠퍼스
부산사하고용센터,취업특강,"(중장년층) 중년의 재도전, 면접마스터키 획득!",중장년층,20260429,20260429,1,10:00,2,부산사하고용센터 10층 제2프로그램실
평택고용센터,취업특강,소통의 기술,구직자(사전 신청 필수),20260429,20260429,1,09:30,2,"평택고용복지+센터 1층, 프로그램 1실"
