orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
서울북부고용센터,취업특강,SWOT분석을 활용한 자기분석,"(~50세까지)국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260420,20260420,1,10:00,2,서울북부고용센터 9층 프로그램 3실
부산사하고용센터,취업특강,(중장년층) 4050 트랜디한 이력서·자소서 작성법,중장년층,20260420,20260420,1,10:00,2,부산사하고용센터 10층 제2프로그램실
안양고용센터,취업특강,알기 쉬운 개인 신용관리,"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자",20260420,20260420,2,02:00,2,안양고용센터 3층 대회의실
안산고용센터,취업특강,2026 채용 트렌드 변화,"실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260420,20260420,2,02:00,2,안산고용센터 5층 대강당
목포고용센터,취업특강,국민연금 평생월급 프로젝트,"실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260420,20260420,2,02:00,2,목포고용센터 별관2층 도약실
안동고용센터,취업특강,평생월급프로젝트(국민연금공단),,20260420,20260420,1,10:30,2,5층 대회의실
통영고용센터,취업특강,치매 이해와 영양 관리,［연령 제한 없음］실업급여 수급자/국민취업지원제도 참여자/재직자/구직자 등 통영·고성·거제 거주자,20260420,20260420,1,09:30,2,통영고용센터 2층 교육장
양주고용센터,취업특강,보듣말 교육 2시간,,20260420,20260420,2,04:00,2,양주고용복지플러스센터 2층 실업급여설명회장
충주고용센터,취업특강,소통의 기술,"실업급여수급자, 국민취업지원제도참여자, 일반수급자등.",20260420,20260420,2,02:00,2,충주고용센터 3층 교육장1
의정부고용센터,[4U] 40대 구직자 취업역량강화,[40대] 40대 구직자의 직업전환 역량 및 변화적응력 향상,직업경험이 있는 35~49세 구직자,20260420,20260422,1,09:30,18,의정부고용센터 2층 취업특강실
인천고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,신중년 (만 50대~60대 구직자),20260420,20260422,1,09:30,18,인천고용센터 별관 2층 / 인천광역시 남동구 문화로 119-1 승산빌딩
진주고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"구직 역량 강화를 희망하는 일반 구직자 및 국민취업지원제도 참여, 실업급여 수급자",20260420,20260422,1,10:00,18,진주고용센터 5층 성취실
서울남부고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"실업급여 수급자, 국민취업지원제도 참여자 등 50~60세 구직자",20260420,20260422,1,09:30,18,"서울남부고용센터 지하 1층 프로그램 1실, 2,5호선 영등포구청역 1,7번출구 목동방면 500미터(구 목화예식장, 붉은 벽돌 건물) 지하1층"
울산고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,신중년 구직자 (5060세대),20260420,20260422,1,09:30,18,울산고용복지+센터 10층 프로그램 1실(대면)
창원고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,창원 관내 50~65세 구직자,20260420,20260422,1,10:00,18,"창원고용복지+센터 4층, 제2실"
부산동부고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,50~60대 구직자,20260420,20260422,1,09:30,18,"수영역9번출구,국민연금남부산4층(별관신호탄실)"
