jobCd,jobCdLevel,jobCdNm,rnum,jobTask,noticeCn,simlrJob,sprdOckclsYn,jobdevtipCn
15520000,5,가스 및 에너지 시험원,2263,"·  가스·  에너지공학 기술자 및 연구원의 지휘, 감독하에 양질의 가스를 공급하기 위하여 표본을 추출하여 열량, 부취농도, 밀도, 유황농도 등의 성분을 분석하고, 또는 에너지 발생량, 에너지 효율, 성분 등을 시험, 분석하고, 에너지기기에 대한 국제공인 또는 정부공인 인증을 위한 시험 평가를 한다.","·  에너지 중 전기, 기계, 화학 등과 관련한 시험이라면 해당분야 시험원으로 분류한다.
·  가스에너지 관련 연구나 시험을 보조할 경우에는 ‘15990001 기타 공학 관련 시험(연구)보조원’으로 분류한다.","· 가스시험분석원, 방사성폐기물현황조사원, 에너지시험원, 에너지진단사(가스,에너지공학분야), 에너지효율시험원, 원자력시험원, 태양열시험원, 풍력시험원, 핵융합시험원",,
15530000,5,신재생에너지 기술자 및 연구원,2264,,,,,
15540000,5,신재생에너지 시험원,2265,,,,,
15550000,5,환경공학 기술자 및 연구원,2266,,,,,
15550100,5,대기 환경 기술자 및 연구원,2267,·  환경오염원을 분석하여 환경상태를 평가하고 각종 기준을 세우며 관련 기술을 개발하는 등 대기오염 문제를 예방하고 대기환경을 개선하는 것과 관련된 분야를 연구·  개발한다.,,"· 대기오염방지시설설계원, 대기환경관리기술자, 대기환경연구원, 대기환경인허가연구원, 대기환경측정분석기술자, 대기환경컨설턴트(ISO14000), 온실가스관리컨설턴트, 온실가스목표관리컨설턴트, 온실가스배출거래제컨설턴트, TMS데이터분석원, TMS분석원, VOC측정기술연구원",,
15550200,5,수질 환경 기술자 및 연구원,2268,"·  상하수 및 오폐수처리장 시설 진단, 오염물 상태 등 수질 환경문제에 대해서 분석하고, 피해를 최소화하기 위한 대처방안 및 오염방지 등 관련 분야를 연구하며, 관련 기술을 개발하고 조언한다.",,"· 분뇨·오폐수정화연구원, 상수도수질관리원, 상하수도연구원, 선박환경기술자, 수돗물전과정평가연구원, 수생태보전연구원, 수질관리기술자, 수질오염물질조사연구원, 수질오염방지설계원, 수질환경관리기술자, 수질환경연구원, 수질환경인허가연구원, 수질환경측정분석기술자, 수질환경컨설턴트, 수처리공정기술연구원, 수처리기술자, 수처리설비설계기술자, 하수관거시공관리자, 해수담수화공정기술연구원, 해수담수화설비설계기술자, 해양환경연구원",,
15550300,5,폐기물처리 기술자 및 연구원,2269,"·  일반 및 산업폐기물의 관리, 처리 및 재활용에 관한 계획·  지도·  안전진단 및 감리업무 등을 수행한다.",,"· 소각시설설계기술자, 재활용기술자, 폐기물순환이용자원화연구원, 폐기물처리기술자, 폐기물처리연구원, 폐기물처리인허가연구원, 폐기물처리컨설턴트, 폐기물측정분석기술자, 폐자원에너지화연구원, RDF설비설계기술자",,
15550400,5,환경영향 평가원,2270,"·  환경조건에 대한 자료를 조사·  정리하며 각 설비에 의한 지역 환경오염과 민원발생 가능성을 예측, 방향을 수립하고, 주기적으로 현장조사를 실시하여 관련부처에 통보하며, 환경 영향 평가의 신기술에 대한 국내외 자료를 분석·  수집하는 업무를 수행한다.",,"· 환경영향평가기술사, 환경영향평가원",,
15550500,5,"소음진동, 토양 등 기타 환경 기술자 및 연구원",2271,"·  각종 공사현장 등에서 기계 및 장비 등의 사용으로 발생하는 소음과 진동으로 인한 환경오염으로부터 환경을 관리·  보전하고, 토양의 건전한 유지 및 관리를 위한 제반 연구 업무를 수행한다. 다만, 아래의 세세세분류에 포함되지 않는 직무는 본 직무로 분류한다.",,"· 복원연구원, 소음진동기술자, 소음진동방지시설설계원, 소음진동산업기술자, 소음진동연구원, 소음진동측정분석기술자, 소음진동환경관리기술자, 소음진동환경컨설턴트, 소음환경인허가연구원, 토양복원기술자, 토양오염분석가, 토양유해오염물방지, 토양중금속저감연구원, 토양환경관리원, 토양환경기술자, 토양환경연구원, 토양환경인허가연구원, 토양환경측정분석기술자, 토양환경컨설턴트",,
15550501,5,환경오염 방지시설 기술자,2272,·  각종 공사현장에서 사용되는 기계나 장비에서 발생되는 환경오염 물질이 외부로 유출되는 것을 방지하기 위해 관련 시설물을 설계하는 업무를 수행한다.,,"· 환경기술자, 방지시설기술자",,
