pwdbs_slwy_estnc,pwdbs_tolt_estnc,stn_cd,stn_nm,whlch_liftt_cnt
N,N,3900662,신창원,0
N,Y,3900420,신탄리,0
N,Y,3900070,신탄진,0
N,Y,3900216,신태인,0
N,Y,3900629,신해운대,0
Y,Y,3900078,심천,0
Y,Y,3900601,쌍룡,0
N,Y,3900320,아산,1
N,N,3900592,아우라지,0
Y,Y,3900087,아포,0
N,N,3900190,아화,0
N,Y,3901038,안강,0
Y,Y,3901102,안동,1
Y,Y,3900039,안양,0
N,N,3900586,안인,0
N,N,3900223,안평,0
N,N,3900264,압록,0
N,Y,3901116,앙성온천,0
Y,Y,3900090,약목,0
N,Y,3900137,양동,0
N,N,3900678,양산화물,0
Y,Y,3900130,양평,0
Y,N,3900523,어등,0
Y,Y,3900279,여수엑스포,0
Y,Y,3900276,여천,0
N,N,3900602,연당,0
N,N,3900534,연무대,0
Y,Y,3900202,연산,0
N,Y,3900417,연천,0
N,N,3900092,연화,0
N,Y,3901068,영덕,0
Y,Y,3900080,영동,0
Y,Y,3900030,영등포,0
Y,Y,3900604,영월,0
N,N,3901087,영일만항,0
Y,Y,3900164,영주,0
N,Y,3900187,영천,0
N,Y,3900716,예당,0
Y,Y,3900608,예미,0
N,Y,3900328,예산,0
Y,Y,3900519,예천,0
N,Y,3900282,오근장,0
Y,Y,3900300,오류동,0
N,N,3900447,오봉,0
N,Y,3900052,오산,2
N,Y,3900280,오송,0
N,Y,3900256,오수,0
Y,Y,3900584,옥계,0
N,N,3900533,옥구,0
Y,Y,3900507,옥산,0
N,Y,3900075,옥천,0
N,N,3900657,온산,0
N,Y,3900322,온양온천,0
N,N,3900261,옹정,0
N,N,3900213,와룡,0
Y,Y,3900701,완사,0
Y,Y,3900091,왜관,0
Y,Y,3900515,용궁,0
N,N,3900207,용동,0
Y,Y,3900132,용문,0
N,Y,3900025,용산,0
N,N,3901097,용암,0
Y,Y,3900180,우보,0
N,N,3900679,우암,0
N,Y,3900896,울산,0
N,N,3901098,울산신항,0
N,N,3900659,울산항,0
Y,Y,3901104,웅천,0
N,Y,3900108,원동,0
N,N,3900439,원릉,0
N,Y,3901099,원주,0
N,N,3900335,원죽,0
N,N,3900712,원창,0
N,N,3900634,월내,0
Y,Y,3900372,월롱,0
Y,Y,3901065,월포,0
N,Y,3900273,율촌,0
N,Y,3900288,음성,0
Y,Y,3900177,의성,0
Y,Y,3900044,의왕,0
N,Y,3900402,의정부,0
Y,Y,3900722,이양,0
N,Y,3900076,이원,0
N,Y,3900211,익산,0
Y,Y,3900239,일로,3
N,Y,3900135,일신,0
Y,N,3900442,일영,0
N,N,3900226,임곡,0
Y,Y,3900558,임기,0
Y,Y,3900240,임성리,3
N,N,3900253,임실,0
Y,Y,3900376,임진강,0
N,N,3900600,입석리,0
N,N,3900610,자미원,0
N,Y,3901066,장사,0
N,N,3900658,장생포,0
N,Y,3900224,장성,0
N,N,3900537,장성화물,0
N,N,3900899,장유,0
N,Y,3900346,장항,0
N,N,3900443,장흥,0
N,N,3900545,적량,0
N,N,3900416,전곡,0
N,Y,3900063,전의,0
N,Y,3900248,전주,0
