"노선
번호","인가
대수",저상버스 대수,저상보유율
5616,18,18,1
5617,8,8,1
5618,23,16,0.69565217391304346
5619,13,12,0.92307692307692313
5620,21,20,0.95238095238095233
5623,37,32,0.86486486486486491
5625,19,14,0.73684210526315785
5626,26,22,0.84615384615384615
5627,11,8,0.72727272727272729
5630,13,10,0.76923076923076927
5633,21,16,0.76190476190476186
5634,15,11,0.73333333333333328
5712,27,27,1
5713,25,25,1
5714,34,34,1
6211,24,15,0.625
6411,27,21,0.77777777777777779
6511,12,3,0.25
6512,24,19,0.79166666666666663
6514,26,23,0.88461538461538458
6515,33,31,0.93939393939393945
6516,19,19,1
6613,10,1,0.1
6614,15,3,0.2
6615,7,2,0.2857142857142857
6616,13,13,1
6617,10,0,0
6620,9,2,0.22222222222222221
6623,14,14,1
6625,12,3,0.25
6627,13,13,1
6628,25,17,0.68
6629,24,19,0.79166666666666663
6630,14,14,1
6631,26,22,0.84615384615384615
6632,17,9,0.52941176470588236
6633,11,3,0.27272727272727271
6637,31,19,0.61290322580645162
6638,12,12,1
6642,13,4,0.30769230769230771
6645,13,5,0.38461538461538464
6647,13,4,0.30769230769230771
6648,14,13,0.9285714285714286
6657,6,6,1
6712,17,12,0.70588235294117652
6713,20,20,1
6714,11,10,0.90909090909090906
6715,20,7,0.35
6716,27,25,0.92592592592592593
7011,21,18,0.8571428571428571
7016,32,32,1
7017,23,22,0.95652173913043481
7018,18,16,0.88888888888888884
7019,26,13,0.5
7021,23,23,1
7022,19,15,0.78947368421052633
7025,17,15,0.88235294117647056
7211,29,25,0.86206896551724133
7212,25,23,0.92
7611,17,14,0.82352941176470584
7612,17,17,1
7613,16,16,1
7711,9,4,0.44444444444444442
7713,15,15,1
7715,13,12,0.92307692307692313
7719,4,0,0
7720,16,16,1
7722,12,12,1
7723,9,7,0.77777777777777779
7727,22,22,1
7728,22,19,0.86363636363636365
7730,18,14,0.77777777777777779
7734,27,27,1
7737,14,6,0.42857142857142855
7738,13,13,1
7739,8,0,0
8002,0,0,0
8111,2,0,0
8112,0,0,0
8146,4,4,1
8221,6,0,0
8331,5,0,0
8332,0,0,0
8441,4,0,0
8541,3,0,0
8551,5,1,0.2
8552,2,0,0
8553,3,0,0
8561,4,1,0.25
8641,2,0,0
8661,0,0,0
8671,2,2,1
8762,4,0,0
8771,4,0,0
8772,0,0,0
8774,5,5,1
110,44,27,0.61363636363636365
2312,19,11,0.57894736842105265
5522,23,8,0.34782608695652173
6640,19,5,0.26315789473684209
7013,17,9,0.52941176470588236
702,40,40,1
750,34,33,0.97058823529411764
8442,0,0,0
8773,5,2,0.4
N13,12,12,1
N15,12,12,1
N16,12,12,1
N26,10,10,1
N30,4,0,0
N31,8,8,1
N37,8,6,0.75
N51,8,4,0.5
N61,16,16,1
N62,12,9,0.75
N64,8,8,1
N72,9,7,0.77777777777777779
N73,8,7,0.875
N75,12,12,1
서울02,0,0,0
서울04,0,0,0
서울05,0,0,0
서울07,0,0,0
서울08,0,0,0
서울09,0,0,0
서울10,0,0,0
