railOprIsttCd,lnCd,stinCd,exitNo,dtlLoc,grndDvNmFr,runStinFlorFr,grndDvNmTo,runStinFlorTo,len,wd,bndWgt,LN_NM,STIN_NM
KR,K1,K216,5,(B1) 도곡역 방향  5번 출입구쪽,지하,1,지상,1,1250,800,300,수인분당,한티
KR,K1,K221,,환승통로(분당선->3호선),지하,3,지하,3,1250,800,300,수인분당,수서
KR,K1,K221,,,지하,3,지하,3,1250,800,300,수인분당,수서
KR,K1,K221,,,지하,3,지하,3,1250,800,300,수인분당,수서
KR,K1,K225,1,(B1) 1번 출입구 방향,지하,1,지상,1,120,80,300,수인분당,모란
KR,K1,K225,3,(B1) 3번 출입구 방향,지하,1,지상,1,120,80,300,수인분당,모란
KR,K1,K225,8,(B1) 8번 출입구 방향,지하,1,지상,1,120,80,300,수인분당,모란
KR,K1,K225,,(B2) 태평 방면 승강장 1-1 출입문 근처,지하,2,지하,1,120,80,300,수인분당,모란
KR,K1,K225,,(B2) 분당선 태평 방면 환승통로 계단 앞,지하,2,지하,1,120,80,300,수인분당,모란
KR,K1,K255,2,(2층) 2번 출입구 계단,지상,2,지상,1,1700,80,300,수인분당,안산
KR,K1,K259,,(F1) 표 내는 곳 앞,지상,1,지상,1,157,115,330,수인분당,달월
KR,K4,K112,1,2층 개찰구 내 한남역 방향 계단 위,지상,2,지상,1,1250,800,300,경의중앙,서빙고
KR,K4,K112,1,2층 개찰구 내 이촌역 방향 계단 위,지상,2,지상,1,1250,800,300,경의중앙,서빙고
KR,K4,K120,,"KTX승강장 (상봉역 방면 1,2호차 타는 곳)",지상,1,지상,1,1700,1100,350,경의중앙,상봉
KR,K4,K120,,KTX승강장망우역 방면 (3호차 타는 곳),지상,1,지상,1,1700,1100,350,경의중앙,상봉
KR,K4,K209,1,3층 맞이방,지상,2,지상,2,500,120,400,경의중앙,청량리
KR,K6,K118,,승강장(태화강 방면),지상,1,지상,,1820,1100,250,동해,센텀
KR,K6,K118,,승강장(부전 방면),지상,1,지상,,1820,1100,250,동해,센텀
KR,K6,K119,,(B2) 2호선 벡스코역 양산방면,지하,2,지하,1,1180,120,300,동해,벡스코
KR,K6,K119,,(B2) 2호선 벡스코역 장산방면,지하,2,지하,1,1180,120,300,동해,벡스코
KR,K6,K120,,(B2) 센텀 방면(상행) 승강장 엘리베이터 앞,지하,2,지하,,1820,1100,250,동해,신해운대
KR,K6,K120,,(B2) 기장 방면(상행) 승강장 계단 앞,지하,2,지하,,1820,1100,250,동해,신해운대
S1,1,156,내부,제기동 방면,지하,2,지하,1,,820,300,1호선,신설동
S1,1,156,내부,동묘앞 방면,지하,2,지하,1,,820,300,1호선,신설동
S1,1,156,내부,연결통로(대합실),지하,1,지하,1,3.8,800,300,1호선,신설동
S1,1,156,내부,연결통로(대합실),지하,1,지하,1,3.7,800,300,1호선,신설동
S1,2,216,내부,잠실쇼핑센터 측 연결계단,지하,1,지하,1,,800,300,2호선,잠실(송파구청)
S1,2,249,내부,"2,3번 출구 측",지하,2,지하,1,11.2,800,300,2호선,신정네거리
S1,3,330,내부,"B1층 2,3호선 연결 계단",지하,1,지하,1,5.2,800,300,3호선,교대(법원.검찰청)
S1,5,2519,내부,화곡 방면1-2,지하,5,지하,4,14,800,300,5호선,까치산
S1,5,2519,내부,2번 출구 측,지하,5,지하,4,14,800,300,5호선,까치산
S1,5,2519,2,2번 출구 측,지하,1,지상,1,36,800,300,5호선,까치산
S1,5,2524,내부,영등포시장 방면2-3,지하,4,지하,2,26.9,800,300,5호선,영등포구청
S1,5,2543,내부,대합실,지하,2,지하,1,12.4,800,300,5호선,답십리
S1,5,2544,내부,대합실,지하,2,지하,1,12.6,800,300,5호선,장한평
S1,5,2547,내부,대합실,지하,2,지하,1,14,800,300,5호선,광나루(장신대)
S1,6,2613,내부,환승통로,지하,2,지하,2,10.2,800,300,6호선,불광
S1,6,2613,내부,환승통로,지하,2,지하,2,10.2,800,300,6호선,불광
S1,6,2619,내부,증산 방면8-4,지하,2,지하,1,14.7,800,300,6호선,디지털미디어시티
S1,6,2619,내부,월드컵경기장 방면1-1,지하,2,지하,1,14.5,800,300,6호선,디지털미디어시티
